ip_address,ap_ip_address,ap_name,ap_ssid,bgp_as,bridge_domain,device_contact,device_location,device_model,device_vendor,discovered_name,discoverer,endpoint_groups,first_discovered_timestamp,last_discovered_timestamp,mac_address,netbios_name,network_component_contact,network_component_description,network_component_ip,network_component_location,network_component_model,network_component_name,network_component_port_description,network_component_port_name,network_component_port_number,network_component_type,network_component_vendor,os,port_duplex,port_link_status,port_speed,port_status,port_vlan_name,port_vlan_number,tenant,vrf_description,vrf_name,vrf_rd,task_name
,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,74:87:bb:56:5d:43,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,GigabitEthernet1/0/7,Gi1/0/7,7,Switch-Router,Cisco,,Full,Connected,1G,Up,default,1,,,,,172.19.1.60_10
1.1.1.1,,,,,,,,WS-C6504-E,Cisco,QALab2swtr09.qanet.com,NetMRI,,16-03-2020 09:28,27-03-2020 08:47,60:73:5c:b4:b3:40,,,,,,,,,,,,,12.2(33)SXJ2,,Not Connected,1G,Down,,,,,,,172.19.1.60_10
119.119.119.119,,,,,,,,WS-C6504-E,Cisco,QALab2swtr09.qanet.com,NetMRI,,16-03-2020 09:28,27-03-2020 08:47,60:73:5c:b4:b3:40,,,,,,,,,,,,,12.2(33)SXJ2,Full,Not Connected,10G,Down,,,,,,,172.19.1.60_10
121.121.121.122,,,,,,,,WS-C6504-E,Cisco,QALab2swtr09.qanet.com,NetMRI,,16-03-2020 09:28,27-03-2020 08:47,60:73:5c:b4:b3:40,,,,,,,,,,,,,12.2(33)SXJ2,Full,Connected,1G,Up,,,,,,,172.19.1.60_10
156.0.0.150,,,,0,,,QA santaClara lab Simplesoft server,catalyst37xxStack,Cisco,QAlab2swrtr07SS.qanet.com,NetMRI,,26-03-2020 10:39,27-03-2020 08:48,d4:8c:b5:2d:3d:c2,,,,,,,,,,,,,12.2(55)SE3,,Not Connected,10M,Up,,,,,,,172.19.1.60_10
173.1.1.138,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,de:ad:be:ef:69:01,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
173.1.51.225,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,de:ad:be:ef:69:01,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
179.63.54.10,,,,0,,,QA santaClara lab Simplesoft server,catalyst37xxStack,Cisco,QAlab2swrtr07SS.qanet.com,NetMRI,,26-03-2020 10:39,27-03-2020 08:48,d4:8c:b5:2d:3d:c1,,,,,,,,,,,,,12.2(55)SE3,Full,Connected,1G,Up,,,,,,,172.19.1.60_10
183.1.1.1,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,9c:8e:99:0d:81:2e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
190.19.93.75,,,,0,,"""dl-qa-inmd@infoblox.com""",QA lab right-top soho router,871,Cisco,QAlab2rtr01_1.qanet.com,NetMRI,,16-03-2020 09:26,27-03-2020 08:49,00:16:9d:29:a7:dd,,,,,,,,,,,,,12.4(24)T5,Full,Connected,100M,Up,,,,,(default)IOS,00:00,172.19.1.60_10
193.1.1.1,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.10.1,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.102.18,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
