header-view,name*,_new_name,blacklist_action,blacklist_log_query,blacklist_redirect_addresses,blacklist_redirect_ttl,blacklist_rulesets,comment,custom_root_name_servers,ddns_principal_group,ddns_principal_tracking,ddns_restrict_patterns,ddns_restrict_patterns_list,ddns_restrict_protected,ddns_restrict_secure,ddns_restrict_static,disable,dns64_groups,enable_blacklist,enable_dns64,enable_match_recursive_only,filter_aaaa,filter_aaaa_list,forwarders,forwarders_only,lame_ttl,match_clients,match_destinations,max_cache_ttl,max_ncache_ttl,network_view,nxdomain_log_query,nxdomain_redirect,nxdomain_redirect_addresses,nxdomain_redirect_ttl,nxdomain_rulesets,recursion,root_name_server_type,rpz_drop_ip_rule_enabled,rpz_drop_ip_rule_min_prefix_length_ipv4,rpz_drop_ip_rule_min_prefix_length_ipv6
header-authzone,fqdn*,zone_format*,allow_active_dir,allow_query,allow_transfer,allow_update,allow_update_forwarding,comment,create_underscore_zones,disable_forwarding,disabled,external_primaries,external_secondaries,grid_primaries,grid_secondaries,is_multimaster,notify_delay,ns_group,prefix,_new_prefix,soa_default_ttl,soa_email,soa_expire,soa_mnames,soa_negative_ttl,soa_refresh,soa_retry,soa_serial_number,update_forwarding,view,zone_type,,,,,,,,,,
header-arecord,address*,_new_address,fqdn*,_new_fqdn,comment,create_ptr,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-aaaarecord,address*,_new_address,fqdn*,_new_fqdn,comment,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-cnamerecord,fqdn*,_new_fqdn,canonical_name,comment,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-dnamerecord,fqdn*,_new_fqdn,target*,comment,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-naptrrecord,fqdn*,_new_fqdn,order*,_new_order,preference*,_new_preference,replacement*,_new_replacement,comment,disabled,flags,_new_flags,regexp,_new_regexp,services,_new_services,ttl,view,,,,,,,,,,,,,,,,,,,,,,,
header-mxrecord,fqdn*,_new_fqdn,mx*,_new_mx,priority*,_new_priority,comment,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-txtrecord,fqdn*,_new_fqdn,text*,_new_text,comment,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-srvrecord,fqdn*,_new_fqdn,port*,_new_port,priority*,_new_priority,target*,_new_target,weight*,_new_weight,comment,disabled,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,
header-ptrrecord,dname*,_new_dname,address,_new_address,comment,disabled,fqdn,_new_fqdn,ttl,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
view,view1,,REDIRECT,FALSE,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,default,FALSE,,,,,,,,,
view,view2,,REDIRECT,FALSE,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,default,FALSE,,,,,,,,,
view,view3,,REDIRECT,FALSE,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,default,FALSE,,,,,,,,,
view,view4,,REDIRECT,FALSE,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,default,FALSE,,,,,,,,,
authzone,DDI_stats_1.com,FORWARD,,,,,,,FALSE,FALSE,FALSE,,,,,FALSE,,nsg1,,,,,,,,,,1,,default,Authoritative,,,,,,,,,,
arecord,25.0.0.1,,arec1.DDI_stats_1.com,,,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:1::1,,aaaa1.DDI_stats_1.com,,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:1::2,,aaaa2.DDI_stats_1.com,,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname1.DDI_stats_1.com,,arec1.test_2.com,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname2.DDI_stats_1.com,,arec1.test_2.com,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname3.DDI_stats_1.com,,arec1.test_2.com,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname1.DDI_stats_1.com,,1DDI_stats_11.com,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname2.DDI_stats_1.com,,2DDI_stats_21.com,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname3.DDI_stats_1.com,,3DDI_stats_31.com,,FALSE,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
