header-authzone,fqdn*,zone_format*,allow_active_dir,allow_query,allow_transfer,allow_update,allow_update_forwarding,comment,create_underscore_zones,disable_forwarding,disabled,external_primaries,external_secondaries,grid_primaries,grid_secondaries,is_multimaster,notify_delay,ns_group,prefix,_new_prefix,soa_default_ttl,soa_email,soa_expire,soa_mnames,soa_negative_ttl,soa_refresh,soa_retry,soa_serial_number,update_forwarding,view,zone_type
header-arecord,address*,_new_address,fqdn*,_new_fqdn,comment,create_ptr,disabled,ttl,view
header-aaaarecord,address*,_new_address,fqdn*,_new_fqdn,comment,disabled,ttl,view
header-cnamerecord,fqdn*,_new_fqdn,canonical_name,comment,disabled,ttl,view
header-mxrecord,fqdn*,_new_fqdn,mx*,_new_mx,priority*,_new_priority,comment,disabled,ttl,view
header-txtrecord,fqdn*,_new_fqdn,text*,_new_text,comment,disabled,ttl,view
header-srvrecord,fqdn*,_new_fqdn,port*,_new_port,priority*,_new_priority,target*,_new_target,weight*,_new_weight,comment,disabled,ttl,view
header-nsrecord,dname*,_new_dname,fqdn*,view,zone_nameservers
header-dnamerecord,fqdn*,_new_fqdn,target*,comment,disabled,ttl,view
header-naptrrecord,fqdn*,_new_fqdn,order*,_new_order,preference*,_new_preference,replacement*,_new_replacement,comment,disabled,flags,_new_flags,regexp,_new_regexp,services,_new_services,ttl,view
header-ptrrecord,dname*,_new_dname,address,_new_address,comment,disabled,fqdn,_new_fqdn,ttl,view
header-hostaddress,address*,_new_address,parent*,boot_file,boot_server,broadcast_address,configure_for_dhcp,configure_for_dns,deny_bootp,domain_name,domain_name_servers,ignore_dhcp_param_request_list,lease_time,mac_address,match_option,network_view,next_server,pxe_lease_time,pxe_lease_time_enabled,routers,view
header-hostrecord,fqdn*,_new_fqdn,addresses,aliases,comment,configure_for_dns,_new_configure_for_dns,disabled,ipv6_addresses,network_view,ttl,view
authzone,qrqt1.com,FORWARD,,,,,,,FALSE,FALSE,FALSE,,,ib-10-35-132-6.infoblox.com/False/False/False,,FALSE,,,,,,,,,,,,1,,,Authoritative
arecord,10.10.1.1,,arec1.qrqt1.com,,,,False,,
arecord,10.10.1.2,,arec2.qrqt1.com,,,,False,,
arecord,10.10.1.3,,arec3.qrqt1.com,,,,False,,
arecord,10.10.1.4,,arec4.qrqt1.com,,,,False,,
arecord,10.10.1.5,,arec5.qrqt1.com,,,,False,,
